Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
,A request to rezone from One and Two-Family Residential (R8) to Specific Plan (SP) zoning to permit up to 75 multi-family residential units.,Toombs,Defer,Gentry,"[""SP""]",,"[""R8""]","[""081-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/082423Staffreport.pdf_item_10.pdf,preliminary SP,1,The Grove at Buena Vista_2023-08-24,2023-08-24,Williams Engineering,,"[""384"",""385""]",361,"Williams Engineering, applicant; Fed Development, LLC, owner",2,"Staff recommends deferral to the September 28, 2023, Planning Commission meeting.",The Grove at Buena Vista,5.29,75,,"Southwest corner of Buena Vista Pike and Cliff Drive, 5.29 acres","[""2130 Buena Vista Pike"",""2132 Buena Vista Pike"",""2140 Buena Vista Pike"",""2142 Buena Vista Pike"",""3005 A Cliff Drive"",""3005 B Cliff Drive"",""3007 Cliff Drive"",""3009 Cliff Drive""]"
Green Hills - Midtown Community Plan,"Approval for a mixed-use development including 216,000 sq ft of office space and 26,000 sq ft of other non-residential uses in a 15-story building.",O’Connell,Conditional,Pierce,"[""SP-MNR""]","[""T5 MU""]","[""ORI-A""]","[""10-MT-T5-MU-02""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180111sr.pdf_item_17.pdf,preliminary sp,8,19th and Chet Atkins Office Building SP_2018-01-11,2018-01-11,Ragan-Smith and Associates,T5 Center Mixed Use Neighborhood,"[""445"",""446"",""447"",""448""]",548,"Ragan-Smith and Associates, applicant; 19th Avenue Land Partners, LLC and Verges-James, LLC, owners",19,Approve with conditions and disapprove without all conditions,19th and Chet Atkins Office Building SP,0.76,,,"northwest corner of Chet Atkins Place and 19th Avenue South, 0.76 acres","[""821 19th Avenue South"",""823 19th Avenue South"",""825 19th Avenue South"",""827 19th Avenue South""]"
North Nashville Community Plan,"The rezoning request is consistent with the D-EC policy, providing a mix of uses compatible with the land uses of adjacent properties in D-EC policy area.",Hastings,Conditional,Gentry,"[""MUG""]","[""D EC""]","[""IWD""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180208sr.pdf_item_13.pdf,zone change,1,None_2018-02-08,2018-02-08,"Tune, Entrekin & White, PC",D Employment Center (D EC),,605,"Tune, Entrekin & White, PC, applicant; 261 French Landing Partnership, owner",2,Approve with conditions,,3.06,196,0,"east side of French Landing Drive, approximately 535 feet southeast of Athens Way (3.06 acres)","[""261 French Landing Drive"",""Athens Way""]"
West Nashville Community Plan,The request is to rezone from R8 to RM15-A for multi-family residential use. Staff recommends disapproval of RM15-A and approval of RM9-A-NS with conditions.,Horton,Conditional,Tylor,"[""RM15-A"",""RM9-A-NS""]","[""T4 NM""]","[""R8""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/031424StaffReport.pdf_item_18.pdf,zone change,9,None_2024-03-14,2024-03-14,Dale & Associates,Urban Neighborhood Maintenance (T4 NM),,73,"Dale & Associates, applicant; Randy and Beth Burns, owners",20,Staff recommends disapproval of RM15-A and approval of RM9-A-NS with conditions.,,0.46,7,2,Approximately 271 feet west of Croley Drive (0.46 acres),"[""6307 Robertson Ave""]"
Antioch-Priest Lake Community Plan,The application proposes to rezone property from AR2a and R10 to CL. It supports industrial and transportation uses.,Benton,Approve,Player,"[""CL""]","[""D-IN"",""CO""]","[""AR2a"",""R10""]","[""134-08""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/121423StaffReport.pdf_item_7.pdf,zone change,7,Ezell Pike Zone Change_2023-12-14,2023-12-14,"Tony L. Carlew, applicant and owner",District Industrial (D-IN),"[""041""]",2991,Tony L. Carlew,28,Staff recommends approval of the rezoning.,Ezell Pike Zone Change,1.17,0,0,"Property located at 436 Ezell Pike, approximately 627 feet east of Bush Road (1.17 acres)","[""436 Ezell Pike"",""Bush Road""]"
Bordeaux-Whites Creek-Haynes Trinity Community Plan,Rezoning from RS5 to R6 to permit two residential units on a 0.2-acre property located at 616 Vester Avenue.,Hastings,Approve,Gentry,"[""R6""]","[""T4 MU""]","[""RS5""]","[""093-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/181213sr.pdf_item_32.pdf,zone change,1,Not specified_2018-12-13,2018-12-13,Thomas Robert,T4 Urban Mixed Use Neighborhood (T4 MU),"[""109"",""110"",""111""]",3486,"Thomas Robert, applicant and owner",2,Staff recommends approval.,Not specified,0.2,2,1,"Approximately 230 feet southeast of Weakley Avenue, 0.2 acres","[""616 Vester Avenue""]"
North Nashville Community Plan,The site consists of two parcels totaling 0.31 acres for a zone change to R6-A to allow four residential units.,Kindall,Approve,Buggs,"[""R6-A""]","[""T4 NE""]","[""RS5""]","[""108-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190110sr.pdf_item_36.pdf,zone change,5,Zone Change 2019Z-003PR-001_2019-01-10,2019-01-10,Jason Oggs,T4 Urban Neighborhood Evolving (T4 NE),"[""014"",""015"",""018""]",1078,"Jason Oggs, applicant; Brown, William and James and Oggs, Jason, owners",21,Staff recommends approval as the request is consistent with the T4 Urban Neighborhood Evolving policy of the North Nashville Community Plan.,Zone Change 2019Z-003PR-001,0.31,4,2,210 feet west of the intersection of 24th Avenue North and Albion Street.,"[""2409 Albion Street"",""2411 Albion Street""]"
South Nashville Community Plan,The application proposes to rezone the property from IR to MUL-A-NS for mixed-use development.,Sledge,Approve,Buggs,"[""MUL-A-NS""]","[""CI"",""MUL-A-NS""]","[""IR""]","[""070-07""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/06222staffReport.pdf_item_42.pdf,zone change,5,2023Z-072PR-001_2023-06-22,2023-06-22,Councilmember Colby Sledge,Civic (CI) to Mixed Use Limited-Alternative-No Short Term Rentals (MUL-A-NS),"[""002"",""005""]",318,"Councilmember Colby Sledge, applicant; Metro Gov't WW Water & Sewer, owner",17,Staff recommends approval of the rezoning.,2023Z-072PR-001,0.3,6,,northwest corner of Hagan Street and Merritt Avenue (0.3 acres),"[""Hagan Street"",""Merritt Avenue""]"
Green Hills-Midtown Community Plan,Supports mixed use development along the South Street and 13th Avenue South corridor to enhance urban character with better housing options.,Sledge,Approve,Buggs,"[""T4 CM""]","[""T4 NE"",""T4 CM""]","[""CS"",""CN""]","[""105-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190613sr.pdf_item_13.pdf,major plan amendment,5,Green Hills-Midtown Community Plan Amendment_2019-06-13,2019-06-13,"T.W. Frierson Contractor Inc., African Methodist Episcopal Church, Inc.",Urban Neighborhood Evolving (T4 NE) to Urban Mixed Use Corridor (T4 CM),"[""078"",""084"",""085"",""086""]",1395,"T.W. Frierson Contractor Inc., African Methodist Episcopal Church, Inc.",17,Staff recommends approval.,Green Hills-Midtown Community Plan Amendment,1.23,,,"Southeast corner of South Street and 13th Avenue South, 1.23 acres","[""910 13th Avenue South"",""912 13th Avenue South"",""926 13th Avenue South""]"
,A request to rezone property located at 720 Lena Street from Single-Family Residential (RS5) to One and Two-Family Residential-Alternative (R6-A) zoning.,Taylor,Defer,Buggs,"[""R6-A""]",,"[""RS5""]","[""092-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200625sr.pdf_item_7.pdf,zone change,5,Zone Change 2020Z-027PR-001_2020-06-25,2020-06-25,"Goodhope Development Consulting Group, Inc., applicant; Lorenzo Wright, owner",,"[""465"",""466"",""467"",""468"",""469""]",1969,"Goodhope Development Consulting Group, Inc.",21,"Staff recommends deferral to the July 23, 2020, Planning Commission meeting at the request of the applicant.",Zone Change 2020Z-027PR-001,0.14,,,"720 Lena Street, approximately 80 feet south of Booker Street (0.14 acres)","[""720 Lena Street""]"
East Nashville Community Plan,Request to rezone parcels combining IR and MUN-A-NS to MUL-A-NS for mixed-use development in East Nashville. Staff recommends disapproval due to inconsistency with T4 MU policy.,Parker,Disapprove,Buggs,"[""MUL-A-NS""]","[""T4 MU""]","[""IR"",""MUN-A-NS""]","[""071-14""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092823StaffReport.pdf_item_28.pdf,zone change,5,Not provided_2023-09-28,2023-09-28,"Fulmer Lucas Engineering, applicant; Douglas Village, LLC, owner",T4 Urban Mixed Use Neighborhood (T4 MU),"[""355"",""358""]",2891,"Fulmer Lucas Engineering, applicant; Douglas Village, LLC, owner",5,"Staff finds that the proposed MUL-A-NS zoning district is inconsistent with the T4 MU land use policy at this site. While the zoning district permits a mixture of residential and nonresidential uses consistent with the policy, the proposed zoning district is likely too intense for this site given access constraints.",Not provided,0.59,0,0,Approximately 150 feet west of McFerrin Avenue (0.59 acres),"[""828 W. McKennie Avenue"",""830 W. McKennie Avenue"",""832 W. McKennie Avenue"",""834 W. McKennie Avenue""]"
North Nashville Community Plan,The application proposes to apply Historic Preservation Overlay District to properties located along Clinton Street.,O’Connell,Approve,Buggs,"[""HP""]","[""T4 MU""]","[""CF"",""IR"",""SP-MU""]","[""092-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200528sr.pdf_item_30.pdf,historic overlay district,5,Marathon Village_2020-05-28,2020-05-28,Councilmember Freddie O’Connell,T4 Urban Mixed Use Neighborhood (T4 MU),"[""534""]",1908,Councilmember Freddie O’Connell; Metro Council,19,Staff recommends approval of the historic preservation overlay district for the requested properties.,Marathon Village,8.19,,,"Various properties located along Clinton Street, from 16th Avenue North to 12th Avenue North","[""Clinton Street"",""16th Avenue North"",""12th Avenue North""]"
North Nashville Community Plan,"The rezoning is consistent with D EC policy, providing mixed office, industrial, commercial, and community/institutional uses.",Hastings,Approve,Gentry,"[""MUG""]","[""D EC"",""CO""]","[""IR""]","[""091-08""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190718sr.pdf_item_20.pdf,zone change,1,None_2019-07-18,2019-07-18,"Southeastern Property Acquisitions, LLC; Ebon Falcon, LLC",D Employment Center (D EC) and Conservation (CO),"[""310"",""320""]",1483,"Southeastern Property Acquisitions, LLC; Ebon Falcon, LLC",2,Staff recommends approval,,5,,,"Northern terminus of Athens Way, north side of Great Circle Road, 5.0 acres","[""365 Great Circle Road""]"
,The request is to amend the specific plan to permit 320 multi-family residential units.,Evans,Defer,Nabaa Mc Kinney,"[""SP""]",,,"[""081""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092823StaffReport.pdf_item_2.pdf,sp amendment,4,4214 Central Pike (Amendment)_2023-09-28,2023-09-28,Kimley Horn,,"[""045""]",427,"Kimley Horn, applicant; NHC/OP, LP, owner",12,"Staff recommends deferral to the December 7, 2023, Planning Commission meeting.",4214 Central Pike (Amendment),14.02,320,,"southwest corner of N. New Hope Road and Central Pike, 14.02 acres","[""4214 Central Pike""]"
North Nashville Community Plan,The application proposes to change zoning from SP-R to RM20-A to permit multi-family residential development.,Kindall,Approve,Buggs,"[""RM20-A""]","[""T4 NE""]","[""SP-R""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180628sr.pdf_item_29.pdf,zone change,5,Zone Change 2018Z-058PR-001_2018-06-28,2018-06-28,"The Del Partners, LLC, applicant and owners",T4 Urban Neighborhood Evolving (T4 NE),,792,"The Del Partners, LLC, applicant and owners",21,Staff recommends approval.,Zone Change 2018Z-058PR-001,0.69,14,17,"located at the southeast corner of 31st Avenue North and Delaware Avenue, 0.69 acres","[""Delaware Avenue"",""31st Avenue North""]"
Bellevue Community Plan,The application proposes 61 multi-family units with significant right-of-way improvements along Charlotte Pike and Sawyer Brown Road.,Hauser,Conditional,Tylor,"[""SP-MR""]","[""T3 NE""]","[""R15"",""R40""]","[""2022SP-069-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/27AprilStaffReport.pdf_item_30.pdf,preliminary SP,9,VT Charlotte Pike Development_2023-04-27,2023-04-27,Dale and Associates,T3 Suburban Neighborhood Evolving,"[""063"",""066"",""068"",""069""]",2271,"Dale and Associates, applicant; Jui-Lien Chou Ho & VT Enterprises, owners",22,Approve with conditions and disapprove without all conditions.,VT Charlotte Pike Development,11.99,61,25,"North side of Charlotte Pike, located west of and adjacent to Sawyer Brown Road intersection","[""7456 Charlotte Pike"",""7460 Charlotte Pike"",""7481 Sawyer Brown Road""]"
Not Provided,A request to rezone from SCC to MUN-A for part of the property at 3565 Old Clarksville Pike.,Hall,Defer,Gentry,"[""MUN-A""]",,"[""SCC""]","[""022""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200514sr.pdf_item_11.pdf,zone change,1,Zone Change 2020Z-009PR-001_2020-05-14,2020-05-14,"Metro Councilmember Jonathan Hall, applicant; Joe Smith, owner",Not Provided,"[""061""]",1851,"Metro Councilmember Jonathan Hall, applicant; Joe Smith, owner",1,"Staff recommends deferral to the May 28, 2020, Planning Commission meeting.",Zone Change 2020Z-009PR-001,25.95,,,approximately 580 feet east of Eatons Creek Road and within a Commercial Planned Unit Development Overlay District,"[""3565 Old Clarksville Pike""]"
Donelson-Hermitage-Old Hickory Community Plan,"The proposal is for a rezoning at the northwest corner of Andrew Jackson Parkway and Old Hickory Boulevard, with staff recommending disapproval due to environmental concerns.",Huffman,Disapprove,Nabaa Mc Kinney,"[""CS"",""AR2a""]","[""T3 CC""]","[""AR2a"",""CS""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/121423StaffReport.pdf_item_28.pdf,zone change,4,Zone Change 2023Z-111PR-001_2023-12-14,2023-12-14,"Dale & Associates; Susan A. Basham, owner",Suburban Community Center,,531,Dale & Associates; Susan A. Basham,14,"Staff finds the proposed CS zoning to be inconsistent with the intent of the CO policy to remediate environmentally sensitive areas like the floodplain. The proposed zoning district would permit commercial development on the site and could enable further disturbance of the floodplain, which is inconsistent with the CO policy. Staff finds the proposed CS zoning district to be inappropriate given the policy and context of the site and recommends disapproval.",Zone Change 2023Z-111PR-001,13.06,8,10,Northwest corner of Andrew Jackson Parkway and Old Hickory Boulevard (1.84 acres being rezoned of 13.06 total acres),"[""4000 Andrew Jackson Parkway"",""Andrew Jackson Parkway"",""Old Hickory Boulevard""]"
,Proposal for a final plat approval to create 82 cluster lots and dedicate right-of-way at 3631 Pin Hook Road.,Harrell,Conditional,Mayes,"[""RS10""]",,"[""RS10""]","[""061-14""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/032824StaffReport.pdf_item_12.pdf,final plat,6,Hobson Park_2024-03-28,2024-03-28,"Dale and Associates, applicant; Ole South/Craighead Joint Venture, owners",,"[""139"",""140"",""141"",""142""]",86,"Dale and Associates, applicant; Ole South/Craighead Joint Venture, owners",8,Staff recommends approval with conditions.,Hobson Park,23.4,82,,"intersection of Hobson Pike and Pin Hook Road, 23.4 acres","[""3631 Pin Hook Road""]"
,Proposal to change zoning from RS5 to RM20-A for multi-family residential use.,Davis,Defer,Buggs,"[""RM20-A""]",,"[""RS5""]","[""105-03""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180809sr.pdf_item_10.pdf,zone change,5,2018Z-039PR-001_2018-08-09,2018-08-09,"Land Development Solutions, applicant; 1702 Meridian, GP, owner",,"[""171"",""174""]",2074,Land Development Solutions,5,"Staff recommends deferral to the September 13, 2018, Planning Commission meeting.",2018Z-039PR-001,0.34,,,"1702 Meridian Street, approximately 30 feet northwest of Edith Avenue (0.34 acres)","[""1702 Meridian Street"",""Edith Avenue""]"
